Model,Period,VLIN,b,n,M1,c,c4,a1,a2,a3,a4,a5,a6,a7,a8,a10,a11,a12,a13,a14,a15,a16,a17,a43,a44,a45,a46,a25,a28,a29,a31,a36,a37,a38,a39,a40,a41,a42,s1,s2,s3,s4,s1_m,s2_m,s5_JP,s6_JP
NGA-West2 Abrahamson-Silva-Kamai,0.01,660,-1.47,1.5,6.75,2.4,4.5,0.587,-0.790,0.275,-0.1,-0.41,2.154,0,-0.015,1.735,0,-0.1,0.6,-0.30,1.1,0,-0.0072,0.1,0.05,0,-0.05,-0.0015,0.0025,-0.0034,-0.1503,0.265,0.337,0.188,0,0.088,-0.196,0.044,0.754,0.520,0.47,0.36,0.741,0.501,0.54,0.63
NGA-West2 Abrahamson-Silva-Kamai,0.02,680,-1.46,1.5,6.75,2.4,4.5,0.598,-0.790,0.275,-0.1,-0.41,2.146,0,-0.015,1.718,0,-0.1,0.6,-0.30,1.1,0,-0.0073,0.1,0.05,0,-0.05,-0.0015,0.0024,-0.0033,-0.1479,0.255,0.328,0.184,0,0.088,-0.194,0.061,0.760,0.520,0.47,0.36,0.747,0.501,0.54,0.63
NGA-West2 Abrahamson-Silva-Kamai,0.03,770,-1.39,1.5,6.75,2.4,4.5,0.602,-0.790,0.275,-0.1,-0.41,2.157,0,-0.015,1.615,0,-0.1,0.6,-0.30,1.1,0,-0.0075,0.1,0.05,0,-0.05,-0.0016,0.0023,-0.0034,-0.1447,0.249,0.320,0.180,0,0.093,-0.175,0.162,0.781,0.520,0.47,0.36,0.769,0.501,0.55,0.63
NGA-West2 Abrahamson-Silva-Kamai,0.05,915,-1.22,1.5,6.75,2.4,4.5,0.707,-0.790,0.275,-0.1,-0.41,2.085,0,-0.015,1.358,0,-0.1,0.6,-0.30,1.1,0,-0.0080,0.1,0.05,0,-0.05,-0.0020,0.0027,-0.0033,-0.1326,0.202,0.289,0.167,0,0.133,-0.090,0.451,0.810,0.530,0.47,0.36,0.798,0.512,0.56,0.65
NGA-West2 Abrahamson-Silva-Kamai,0.075,960,-1.15,1.5,6.75,2.4,4.5,0.973,-0.790,0.275,-0.1,-0.41,2.029,0,-0.015,1.258,0,-0.1,0.6,-0.30,1.1,0,-0.0089,0.1,0.05,0,-0.05,-0.0027,0.0032,-0.0029,-0.1353,0.126,0.275,0.173,0,0.186,0.090,0.506,0.810,0.540,0.47,0.36,0.798,0.522,0.57,0.69
NGA-West2 Abrahamson-Silva-Kamai,0.1,910,-1.23,1.5,6.75,2.4,4.5,1.169,-0.790,0.275,-0.1,-0.41,2.041,0,-0.015,1.310,0,-0.1,0.6,-0.30,1.1,0,-0.0095,0.1,0.05,0,-0.05,-0.0033,0.0036,-0.0025,-0.1128,0.022,0.256,0.189,0,0.16,0.006,0.335,0.810,0.550,0.47,0.36,0.795,0.527,0.57,0.7
NGA-West2 Abrahamson-Silva-Kamai,0.15,740,-1.59,1.5,6.75,2.4,4.5,1.442,-0.790,0.275,-0.1,-0.41,2.121,0,-0.022,1.660,0,-0.1,0.6,-0.30,1.1,0,-0.0095,0.1,0.05,0,-0.05,-0.0035,0.0033,-0.0025,0.0383,-0.136,0.162,0.108,0,0.068,-0.156,-0.084,0.801,0.560,0.47,0.36,0.773,0.519,0.58,0.7
NGA-West2 Abrahamson-Silva-Kamai,0.2,590,-2.01,1.5,6.75,2.4,4.5,1.637,-0.790,0.275,-0.1,-0.41,2.224,0,-0.03,2.220,0,-0.1,0.6,-0.30,1.1,0,-0.0086,0.1,0.05,0,-0.03,-0.0033,0.0027,-0.0031,0.0775,-0.078,0.224,0.115,0,0.048,-0.274,-0.178,0.789,0.565,0.47,0.36,0.753,0.514,0.59,0.7
NGA-West2 Abrahamson-Silva-Kamai,0.25,495,-2.41,1.5,6.75,2.4,4.5,1.701,-0.790,0.275,-0.1,-0.41,2.312,0,-0.038,2.770,0,-0.1,0.6,-0.24,1.1,0,-0.0074,0.1,0.05,0,0.00,-0.0029,0.0024,-0.0036,0.0741,0.037,0.248,0.122,0,0.055,-0.248,-0.187,0.770,0.570,0.47,0.36,0.729,0.513,0.61,0.7
NGA-West2 Abrahamson-Silva-Kamai,0.3,430,-2.76,1.5,6.75,2.4,4.5,1.712,-0.790,0.275,-0.1,-0.41,2.338,0,-0.045,3.250,0,-0.1,0.6,-0.19,1.0,0,-0.0064,0.1,0.05,0.03,0.03,-0.0027,0.0020,-0.0039,0.2548,-0.091,0.203,0.096,0,0.073,-0.203,-0.159,0.740,0.580,0.47,0.36,0.693,0.519,0.63,0.7
